# M_sub, z_sub
1.026678239728371811e+10 7.380072743204428576e-02
1.198464275120873833e+10 7.923637233530046731e-02
1.007022731814115524e+10 1.419172710590551056e-01
6.473006393656841278e+10 2.173659498507671539e-01
1.786016778381070328e+10 2.782752575711212040e-01
6.685124113624492188e+11 3.059830589400769352e-01
6.058268698227702637e+11 3.524318329667641136e-01
5.176505317970671997e+11 3.542912835446052067e-01
2.293395498257728958e+10 3.605997891691845036e-01
2.615928181448135254e+12 4.316532633250032003e-01
1.221989341020360947e+10 5.087314304073675686e-01
2.922840653534067993e+11 6.698816256548342229e-01
3.797737800161473083e+10 8.003308825495378809e-01
2.673977598447251511e+10 8.499448257305840526e-01
1.102840338594110489e+10 8.615146523108564436e-01
1.365287886758490944e+10 9.004437796777964298e-01
1.037144693899810600e+10 9.476937456232717993e-01
2.115512813679574585e+11 9.556230855803243829e-01
4.742297511493993378e+10 9.765471888695325120e-01
1.148563165161101685e+11 1.028422180762798233e+00
2.118659167926753235e+10 1.264336458867178825e+00
5.357023083320148926e+11 1.307654622449765380e+00
9.846301592316882324e+10 1.312500138103799729e+00
9.683035582170303345e+10 1.343669514617069405e+00
3.050280952990093994e+10 1.389908446402505549e+00
1.170954883273848724e+10 1.542033224292485905e+00
2.526093274458744507e+11 1.563347241184922298e+00
2.174425293346996689e+10 1.800750103007631164e+00
5.255821793480909424e+11 1.918543093534172073e+00
9.464151363921388245e+10 2.048552782138150175e+00
1.763932398069919205e+10 2.116699556492995793e+00
1.629852063205606270e+10 2.302747816094155908e+00
1.843776481173104095e+10 2.900293997748782715e+00
1.813028386537494659e+10 2.923670538469170133e+00
1.670230088658706665e+10 3.685492841565166433e+00
6.954714716577085876e+10 5.019648780746074124e+00
3.078661393785244370e+10 5.809167996149276370e+00
