# M_main, z_main, v_vir
9.268432828709564453e+12 2.505070814195787809e-01 2.870872157721743747e+02
9.263904251732105469e+12 2.522463104254421551e-01 2.871944781891747311e+02
9.259375721669585938e+12 2.539850154980127228e-01 2.873016048557724389e+02
9.254847238590763672e+12 2.557232028056045103e-01 2.874085961958199391e+02
9.250318802581859375e+12 2.574608784710226139e-01 2.875154526298522342e+02
9.245790413707324219e+12 2.591980485871469564e-01 2.876221745760526005e+02
9.241262072051242188e+12 2.609347192014597749e-01 2.877287624493048952e+02
9.236733777686828125e+12 2.626708963282131104e-01 2.878352166619472428e+02
9.232205530696035156e+12 2.644065859410503205e-01 2.879415376233154120e+02
9.227677331145587891e+12 2.661417939828586987e-01 2.880477257403580893e+02
9.223149179117486328e+12 2.678765263542159381e-01 2.881537814169254261e+02
9.218621074689394531e+12 2.696107889214496289e-01 2.882597050542715351e+02
9.214093017932468750e+12 2.713445875178432387e-01 2.883654970511304327e+02
9.209565008930955078e+12 2.730779279364447532e-01 2.884711578032797092e+02
9.205037047758236328e+12 2.748108159396615013e-01 2.885766877041306202e+02
9.200509134494250000e+12 2.765432572528058186e-01 2.886820871443341616e+02
9.195981269208070312e+12 2.782752575711212040e-01 2.887873565122119999e+02
9.173593284195873047e+12 2.800068225519801723e-01 2.887052565270159334e+02
9.169065705747447266e+12 2.817413867333508071e-01 2.888104102215855278e+02
9.164538175822259766e+12 2.834755249425209289e-01 2.889154345588910928e+02
9.160010694496111328e+12 2.852092427723564860e-01 2.890203299190890789e+02
9.155483261849179688e+12 2.869425457813222224e-01 2.891250966797589967e+02
9.150955877948613281e+12 2.886754395004907381e-01 2.892297352163308233e+02
9.146428542885515625e+12 2.904079294198048666e-01 2.893342459012611130e+02
9.141901256735787109e+12 2.921400210031994127e-01 2.894386291049439706e+02
9.137374019575353516e+12 2.938717196832604794e-01 2.895428851953961953e+02
9.132846831482337891e+12 2.956030308605245849e-01 2.896470145382132841e+02
9.128319692534892578e+12 2.973339599047736259e-01 2.897510174966546401e+02
9.123792602811193359e+12 2.990645121554206254e-01 2.898548944316719371e+02
9.119265562398136719e+12 3.007946929181607998e-01 2.899586457017021530e+02
9.114738571363076172e+12 3.025245074764146280e-01 2.900622716633668574e+02
9.110211629792960938e+12 3.042539610763996261e-01 2.901657726705719256e+02
9.105684737761718750e+12 3.059830589400769352e-01 2.902691490752922050e+02
