# M_sub, z_sub
5.976315900698149109e+10 6.864285254760793542e-01
1.117167025179670143e+10 6.898319916660662354e-01
4.382213175927483368e+10 6.958456174459084487e-01
1.022405906915072060e+10 6.992593652345735489e-01
3.968520367507899475e+10 7.042852505643608652e-01
6.539703123004161377e+11 7.113357446036895348e-01
3.343234434585323334e+10 7.131704609242307535e-01
1.389123772330217743e+10 7.170537572486987976e-01
1.017965003629205322e+10 7.254472475440155721e-01
1.238840057966973495e+10 7.291378358128777215e-01
1.272551511128549004e+10 7.346807668863144514e-01
1.926101827269583893e+10 7.369415051779768522e-01
1.293040017887618828e+10 7.478546936270159540e-01
1.013267884209677429e+11 7.544587306746689537e-01
3.893690924821927643e+10 7.612927781454348342e-01
1.213930417454452324e+10 7.644051653009431568e-01
1.696933328937050781e+11 7.666896424395962528e-01
3.499293672426116943e+10 7.733638356572736239e-01
4.000634884178762817e+10 7.752442043474581101e-01
1.752868793495468750e+11 7.792199023609088782e-01
1.314219116541144371e+10 7.806899637536895975e-01
1.835875941464078140e+10 7.827924729709564433e-01
9.200760289516772461e+10 7.851072905219580456e-01
1.824907817209291992e+11 7.876383044665816735e-01
2.013500562426046371e+10 7.980277063601809440e-01
2.169882572548785782e+10 8.001521887256975996e-01
1.169112562645395279e+10 8.184780601886663121e-01
2.358903770128935242e+11 8.206149545837092552e-01
1.686582167165036316e+11 8.208287130586429114e-01
2.925815412962615204e+10 8.214745458927474875e-01
4.752223995802423859e+10 8.236316609194890281e-01
1.737370310722692108e+10 8.253597576820130843e-01
2.805840302532527161e+10 8.257920287465290166e-01
3.718456079118212891e+10 8.292543676393074881e-01
1.257891124508703041e+10 8.342406558077868350e-01
2.584571888293330765e+10 8.368454467213245485e-01
1.035055259893198967e+10 8.405404885716696306e-01
2.944395395185117798e+11 8.468535126974192639e-01
9.298115512858546448e+10 8.510189861186369109e-01
1.802799022020230484e+10 8.516781550362956255e-01
1.017706405550825119e+10 8.518980430098513912e-01
1.095432498230360985e+10 8.598270933074252387e-01
1.031634821097833443e+10 8.624743905644477460e-01
1.506025626614467049e+10 8.666707026914385326e-01
5.032505244269596863e+10 8.708730293251947252e-01
1.244026460594188080e+11 8.757497603172325062e-01
6.426859626919876099e+10 8.779738525273740324e-01
1.794279909648642731e+10 8.813175422920063173e-01
1.653071902220249367e+10 8.992106116160882845e-01
4.925430884189644165e+11 9.036992155894902901e-01
1.459076868573253822e+10 9.098289459798335477e-01
8.127014513669909668e+10 9.134687891752414357e-01
1.326062030431338348e+11 9.175748462327173449e-01
8.866614189199331665e+10 9.233017016545544964e-01
1.397930872288357735e+10 9.405727211007004485e-01
1.192401150736505890e+10 9.417274668232722412e-01
1.695487939932806206e+10 9.539953093763592351e-01
7.355403881904246521e+10 9.588699731939055448e-01
3.937594464974445801e+11 9.611970683563806350e-01
1.922555628837680435e+10 9.649545481936453450e-01
1.978966302019999695e+11 9.680133770418926087e-01
7.781566199615591431e+10 9.720341510446732780e-01
1.049265557529583168e+10 9.779670363038303060e-01
2.460322201844658661e+10 9.827222172314534765e-01
4.012328232199610901e+10 9.877250472352145927e-01
1.017527548071595955e+10 1.013355954358770239e+00
1.220223657832858849e+10 1.029510703242912939e+00
1.357331407468736649e+10 1.036045207760591502e+00
1.885053588371368790e+10 1.051592072411345002e+00
1.063352001197294426e+10 1.067465935566584312e+00
3.374496326009405518e+11 1.067710767161247798e+00
3.051292623959091568e+10 1.072648937034392347e+00
1.595260484989718246e+10 1.089017412890724179e+00
3.176481275851671982e+10 1.091754713656038378e+00
4.160402907985866089e+11 1.099987156600695126e+00
6.397901423701818848e+10 1.102003410421480867e+00
1.337073794035014534e+10 1.105291184509594071e+00
1.154388261747646904e+10 1.112133598606995566e+00
1.205544758731290054e+10 1.114418328596811003e+00
8.634684410328572083e+10 1.116196992761358198e+00
3.463960219941896820e+10 1.134077038000498971e+00
1.557190207027417297e+11 1.135359043123326694e+00
1.441700932064488792e+10 1.139222400969749582e+00
5.490987183540567017e+10 1.150848593323965829e+00
1.326314463513745270e+11 1.183945822863171404e+00
3.510737593220162964e+10 1.191051581092537948e+00
1.377615585480558777e+10 1.196859425526326737e+00
6.024324812098358917e+10 1.212496799372728917e+00
9.477465159798260498e+11 1.226902694165720176e+00
1.109889590674646378e+10 1.240073828454219651e+00
1.929887476135981140e+11 1.248066106004808606e+00
2.702924899713981323e+11 1.262801243774027471e+00
2.627478794413376999e+10 1.265888816317463528e+00
4.081460491169170410e+12 1.273491155794121754e+00
1.352547654035396576e+10 1.277878089859858735e+00
1.842975770105561066e+10 1.284206966606612932e+00
2.267469071546984100e+10 1.284840784264341673e+00
1.523124874761671638e+10 1.306172682488866865e+00
3.669052885327301636e+11 1.317704241694147349e+00
1.263149821333002472e+10 1.318349733700389548e+00
1.586464119339496422e+10 1.321923008419482848e+00
4.391643447769071198e+10 1.332674525579143232e+00
6.244110774580049133e+10 1.339218282035656404e+00
2.420754856298027039e+10 1.344802335459330145e+00
1.023370207628592682e+10 1.364945259833944213e+00
3.454231450781038818e+11 1.367598184363129077e+00
2.294654756447019958e+10 1.376661963061637683e+00
9.729218121292578125e+12 1.382052288164457465e+00
1.587555803204722023e+10 1.382389535090644106e+00
3.336069528738916016e+11 1.390040089536475731e+00
2.071154941840788269e+10 1.408541830094572900e+00
1.568044906790332222e+10 1.413925463709240882e+00
5.781969673415958405e+10 1.424237973095684007e+00
2.355947805275411224e+10 1.457465507013530059e+00
