# M_main, z_main, v_vir
1.000000000000000000e+14 0.000000000000000000e+00 5.849852986166138180e+02
9.999582946573064062e+13 1.520695643735151090e-04 5.850072106228841449e+02
9.999165891699707812e+13 3.041271825153863870e-04 5.850291193236356548e+02
9.998748835380365625e+13 4.561728648561034225e-04 5.850510247204570078e+02
9.998331777614579688e+13 6.082066221564067128e-04 5.850729268149857489e+02
9.997914718402781250e+13 7.602284648278841367e-04 5.850948256088073549e+02
9.997497657744810938e+13 9.122384034906947433e-04 5.851167211035378841e+02
9.997080595640507812e+13 1.064236448771102832e-03 5.851386133007946455e+02
9.996663532090303125e+13 1.216222611060195809e-03 5.851605022021608420e+02
9.996246467093740625e+13 1.368196901053926910e-03 5.851823878092625364e+02
9.995829400650659375e+13 1.520159329332765796e-03 5.852042701237094207e+02
9.995412332760898438e+13 1.672109906475538477e-03 5.852261491471108457e+02
9.994995263425187500e+13 1.824048642721938594e-03 5.852480248810272769e+02
9.994578192642771875e+13 1.975975548836278982e-03 5.852698973270943270e+02
9.994161120413492188e+13 2.127890635376967089e-03 5.852917664869185046e+02
9.993744046737779688e+13 2.279793912644145163e-03 5.853136323620677786e+02
9.993326971615473438e+13 2.431685391173609399e-03 5.853354949541446786e+02
9.992909895046412500e+13 2.583565081468499822e-03 5.853573542647465047e+02
9.992492817030435938e+13 2.735432994036192215e-03 5.853792102954711254e+02
9.992075737567681250e+13 2.887289139249359354e-03 5.854010630478962867e+02
9.991658656657689062e+13 3.039133527720120059e-03 5.854229125236358868e+02
9.991241574301189062e+13 3.190966169584807076e-03 5.854447587242332247e+02
9.990824490497723438e+13 3.342787075419447005e-03 5.854666016512956048e+02
9.990407405247129688e+13 3.494596255669305592e-03 5.854884413064107775e+02
9.989990318549545312e+13 3.646393720683817688e-03 5.855102776911537603e+02
9.989573230404514062e+13 3.798179480987834682e-03 5.855321108071229901e+02
9.989156140812170312e+13 3.949953546900616778e-03 5.855539406558879136e+02
9.988739049772945312e+13 4.101715928616599983e-03 5.855757672390002426e+02
9.988321957286085938e+13 4.253466636761954814e-03 5.855975905580733070e+02
9.987904863352320312e+13 4.405205681399026324e-03 5.856194106146389231e+02
9.987487767971192188e+13 4.556933073019923432e-03 5.856412274102910942e+02
9.987070671142835938e+13 4.708648821895789448e-03 5.856630409465914227e+02
9.986653572867092188e+13 4.860352938376996841e-03 5.856848512251126522e+02
9.986236473143798438e+13 5.012045432835656768e-03 5.857066582474316192e+02
9.985819371972793750e+13 5.163726315603722403e-03 5.857284620151175432e+02
9.985402269354510938e+13 5.315395596794250839e-03 5.857502625297087206e+02
9.984985165288195312e+13 5.467053286955663588e-03 5.857720597928064308e+02
9.984568059774278125e+13 5.618699396182686052e-03 5.857938538059457869e+02
9.984150952812303125e+13 5.770333934878298793e-03 5.858156445707060129e+02
9.983733844402701562e+13 5.921956913128609973e-03 5.858374320886214264e+02
9.978412384208834375e+13 6.073568341214440058e-03 5.857632653010896320e+02
9.977995255875806250e+13 6.225254192447459388e-03 5.857850553942406577e+02
9.977578126094256250e+13 6.376928500528498446e-03 5.858068422420479919e+02
9.977160994864023438e+13 6.528591275747939494e-03 5.858286258460747149e+02
9.976743862185835938e+13 6.680242528040682658e-03 5.858504062078319521e+02
9.976326728058346875e+13 6.831882268088495906e-03 5.858721833289378083e+02
9.975909592482578125e+13 6.983510505706176652e-03 5.858939572108862421e+02
9.975492455457778125e+13 7.135127251336022963e-03 5.859157278552604566e+02
9.975075316984378125e+13 7.286732514992029681e-03 5.859374952635826048e+02
9.974658177061920312e+13 7.438326306996387825e-03 5.859592594374188366e+02
9.974241035690540625e+13 7.589908637439138177e-03 5.859810203783011957e+02
9.973823892870371875e+13 7.741479516420558121e-03 5.860027780877643409e+02
9.973406748601254688e+13 7.893038954116393321e-03 5.860245325673523666e+02
9.972989602883323438e+13 8.044586960589556954e-03 5.860462838185929968e+02
9.972572455716120312e+13 8.196123546132333404e-03 5.860680318430481748e+02
9.972155307099781250e+13 8.347648720770300262e-03 5.860897766422393715e+02
9.971738157034143750e+13 8.499162494673894938e-03 5.861115182177106817e+02
9.971321005519343750e+13 8.650664877850693796e-03 5.861332565709805067e+02
9.970903852555218750e+13 8.802155880443479283e-03 5.861549917035887347e+02
9.970486698141607812e+13 8.953635512566771731e-03 5.861767236170696833e+02
9.970069542278942188e+13 9.105103784110946119e-03 5.861984523129252693e+02
9.969652384966765625e+13 9.256560705289768043e-03 5.862201777927045896e+02
9.969235226204914062e+13 9.408006286179278199e-03 5.862419000579354815e+02
9.968818065993820312e+13 9.559440536660308851e-03 5.862636191101192935e+02
9.968400904332729688e+13 9.710863467011861608e-03 5.862853349508128531e+02
9.967983741221778125e+13 9.862275087181345684e-03 5.863070475815258078e+02
9.967566576661396875e+13 1.001367540701319017e-02 5.863287570037531395e+02
9.967149410651126562e+13 1.016506443666163190e-02 5.863504632190340544e+02
9.966732243191398438e+13 1.031644218593022119e-02 5.863721662288564858e+02
9.966315074282348438e+13 1.046780866474803992e-02 5.863938660347274663e+02
9.965897903922926562e+13 1.061916388344410350e-02 5.864155626382101900e+02
9.965480732113562500e+13 1.077050785180874888e-02 5.864372560407909987e+02
9.965063558854689062e+13 1.092184057962346765e-02 5.864589462439546423e+02
9.964646384145253125e+13 1.107316207720014135e-02 5.864806332492619276e+02
9.964229207985984375e+13 1.122447235419507354e-02 5.865023170581795284e+02
9.963812030376128125e+13 1.137577142078339057e-02 5.865239976722477877e+02
9.963394851315818750e+13 1.152705928681477428e-02 5.865456750929607779e+02
9.962977670805782812e+13 1.167833596192481560e-02 5.865673493217816485e+02
9.962560488845564062e+13 1.182960145615657294e-02 5.865890203602319843e+02
9.962143305435296875e+13 1.198085577933326838e-02 5.866106882098013102e+02
9.961726120574521875e+13 1.213209894147261776e-02 5.866323528720062086e+02
9.961308934263670312e+13 1.228333095228050301e-02 5.866540143483200609e+02
9.960891746502285938e+13 1.243455182177043324e-02 5.866756726402593358e+02
9.960474557289910938e+13 1.258576155993176848e-02 5.866973277493364094e+02
9.960057366626973438e+13 1.273696017644212510e-02 5.867189796770194334e+02
9.959640174514498438e+13 1.288814768075182901e-02 5.867406284247442727e+02
9.959222980950251562e+13 1.303932408346419013e-02 5.867622739941105010e+02
9.958805785935551562e+13 1.319048939391043521e-02 5.867839163865367027e+02
9.958388589469939062e+13 1.334164362203605660e-02 5.868055556035279778e+02
9.957971391554142188e+13 1.349278677736763174e-02 5.868271916465306504e+02
9.957554192187703125e+13 1.364391886983317217e-02 5.868488245170472055e+02
9.956071213297909375e+13 1.379503990946880781e-02 5.868495145971302236e+02
9.955654007322354688e+13 1.394616856592106185e-02 5.868711430878688589e+02
9.955236799895257812e+13 1.409728618624649966e-02 5.868927684099213593e+02
9.954819591017643750e+13 1.424839277979999055e-02 5.869143905647074462e+02
9.954402380688462500e+13 1.439948835669787111e-02 5.869360095537564348e+02
9.953985168908143750e+13 1.455057292650180009e-02 5.869576253785181734e+02
9.953567955676525000e+13 1.470164649898122664e-02 5.869792380404713867e+02
9.953150740993445312e+13 1.485270908389501113e-02 5.870008475410937763e+02
9.952733524859039062e+13 1.500376069088991786e-02 5.870224538818465589e+02
9.952316307273143750e+13 1.515480132970366267e-02 5.870440570642037983e+02
9.951899088235893750e+13 1.530583100996953973e-02 5.870656570896250059e+02
9.951481867746534375e+13 1.545684974162050453e-02 5.870872539596115303e+02
9.951064645805498438e+13 1.560785753414626470e-02 5.871088476756008276e+02
9.950647422413510938e+13 1.575885439695127663e-02 5.871304382390201226e+02
9.950230197569817188e+13 1.590984033993304847e-02 5.871520256513648519e+02
9.949812971274551562e+13 1.606081537268177345e-02 5.871736099140874785e+02
9.949395743527553125e+13 1.621177950487287869e-02 5.871951910286519478e+02
9.948978514328362500e+13 1.636273274628036525e-02 5.872167689965361888e+02
9.948561283677114062e+13 1.651367510647245782e-02 5.872383438191895948e+02
9.948144051574239062e+13 1.666460659487688234e-02 5.872599154980397316e+02
9.947726818018982812e+13 1.681552722134902617e-02 5.872814840345758967e+02
9.947309583012368750e+13 1.696643699509477535e-02 5.873030494301940507e+02
9.946892346552456250e+13 1.711733592639040277e-02 5.873246116864438591e+02
9.946475108641453125e+13 1.726822402399244907e-02 5.873461708046569356e+02
9.946057869278014062e+13 1.741910129793436401e-02 5.873677267863471343e+02
9.945640628462568750e+13 1.756996775760790580e-02 5.873892796329371322e+02
9.945223386194953125e+13 1.772082341259910432e-02 5.874108293458763228e+02
9.944806142474710938e+13 1.787166827260587218e-02 5.874323759266309253e+02
9.944388897302271875e+13 1.802250234697733156e-02 5.874539193766161134e+02
9.943971650677178125e+13 1.817332564539246575e-02 5.874754596972949230e+02
9.943554402600156250e+13 1.832413817707638851e-02 5.874969968900647928e+02
